,Phi,Theta,E_deloc,E_nonbond
226,0,0,-589.3264432244,-981.3589621319
82,5,0,-589.3261363489999,-981.3588156010001
133,10,0,-589.3249769626002,-981.3583573553999
26,15,0,-589.3229130761998,-981.3578221101001
203,20,0,-589.3199395922001,-981.3570094790999
288,25,0,-589.3160440643001,-981.3560844992999
42,30,0,-589.3112600438,-981.3547617022999
284,40,0,-589.2989973504999,-981.3510466010001
146,50,0,-589.2830873564001,-981.3450952747999
337,60,0,-589.2634392714,-981.3357061620001
223,0,10,-589.3259717572,-981.3605016491999
103,5,10,-589.3258262848001,-981.3597808759
141,10,10,-589.3247776158,-981.3588714538
20,15,10,-589.3228352597001,-981.3577475896999
200,20,10,-589.3199866283,-981.3563953882
292,25,10,-589.3162634587,-981.3547349944001
52,30,10,-589.3116557513999,-981.3527120653
275,40,10,-589.2997942264001,-981.3472706161999
171,50,10,-589.2844680142999,-981.3391497928
330,60,10,-589.2656006640998,-981.3271327505001
234,0,20,-589.3262904731,-981.3625123433001
80,5,20,-589.3246786711001,-981.3631606495
128,10,20,-589.3236530153,-981.3620790854001
1,15,20,-589.3217476908999,-981.3607048101001
189,20,20,-589.3189517711999,-981.3590047738
297,25,20,-589.3152977876001,-981.3568797359
64,30,20,-589.3107769471002,-981.3542533747999
268,40,20,-589.2991560052001,-981.3470344330999
159,50,20,-589.2841960461,-981.336006805
325,60,20,-589.265866237,-981.3194593027001
248,0,30,-589.3231137893999,-981.3677512913
79,5,30,-589.3228994498999,-981.3671029009
109,10,30,-589.3217970221999,-981.3662207033001
15,15,30,-589.3198157221001,-981.3650700579
180,20,30,-589.3169431803,-981.3636166456
295,25,30,-589.3132115169999,-981.3617555029
50,30,30,-589.3086137926999,-981.3593948070001
264,40,30,-589.2968333345001,-981.3526271125999
168,50,30,-589.2816993455001,-981.3416981198
324,60,30,-589.2632310524001,-981.3243135069
251,0,40,-589.3211577126999,-981.3706668989
94,5,40,-589.3208062382001,-981.3702499611999
130,10,40,-589.3195556975999,-981.3696959912
14,15,40,-589.3174132074998,-981.3689830712001
181,20,40,-589.3143638022999,-981.3680910175
316,25,40,-589.3104349119002,-981.3669370834999
58,30,40,-589.3056170113,-981.3654525736999
255,40,40,-589.2933028544998,-981.3610262298001
157,50,40,-589.2774810754001,-981.3532623959
343,60,40,-589.2582035742,-981.3394863275
232,0,50,-589.3190801692,-981.3728295089
89,5,50,-589.3185774797,-981.3725783875
132,10,50,-589.3171622825,-981.3722843068999
10,15,50,-589.3148380621001,-981.3719380139999
190,20,50,-589.311584882,-981.3715467693
314,25,50,-589.3074243701,-981.3710482095001
67,30,50,-589.3023410795,-981.3703818590999
279,40,50,-589.2893620854001,-981.3681106024
173,50,50,-589.2726497623001,-981.3630549929
347,60,50,-589.2522040776998,-981.3512506412001
246,0,60,-589.3172230898,-981.3743527764001
77,5,60,-589.3165948087,-981.3741894359001
125,10,60,-589.3150408608,-981.3740584659
17,15,60,-589.3125617799999,-981.3739576094001
191,20,60,-589.3091353190999,-981.3738951791
304,25,60,-589.3047771106001,-981.3738214614
49,30,60,-589.2994706705,-981.3736628723999
283,40,60,-589.285959702,-981.3724762380999
145,50,60,-589.2685485341,-981.3678993735999
352,60,60,-589.2470842556,-981.3533434764
244,0,70,-589.3156865713,-981.3753720428
91,5,70,-589.3149688730999,-981.3752639562
138,10,70,-589.3133184371001,-981.3752430689
12,15,70,-589.3107380499001,-981.3753098535
207,20,70,-589.3072083823,-981.3754697501
296,25,70,-589.3027482378001,-981.3756332311999
44,30,70,-589.2973424290998,-981.3756941192001
267,40,70,-589.2836391991998,-981.3748278150001
150,50,70,-589.2660724829998,-981.3694311675001
351,60,70,-589.2445019155999,-981.3499064101001
249,0,80,-589.3147222854999,-981.3759777312001
86,5,80,-589.3139565921,-981.3759169121
116,10,80,-589.3122651769002,-981.3759654167
19,15,80,-589.3096507688001,-981.3761188996
214,20,80,-589.3060933108001,-981.3763738837
294,25,80,-589.3016133712,-981.3766268671999
71,30,80,-589.2962025024999,-981.3767860692001
278,40,80,-589.2825782480002,-981.3759265270999
156,50,80,-589.2652945983999,-981.3698199431
326,60,80,-589.2445339123001,-981.3463583215
241,0,90,-589.3143683858999,-981.3762629152001
